DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
CAJAMARCA;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);80;;;;;;;
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;473;586;;;;;;
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;2572;413;3;;;;;
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;3;8;14;7;1;5;7;5
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;354;429;637;859;558;562;562;372
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;1044;734;;;;;
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;44;72;;1;1;;1
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;49;;;;;;
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;16;;;;1;;
CUSCO;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;118;168;17;11;21;8;5
CUSCO;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;423;240;175;13;19;15;12;10
CUSCO;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;5;83;78;21;37;35;32;27
CUSCO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;129;24;241;;;;;
CUSCO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;1278;56;357;318;247;;
CUSCO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;60;34;4;6;6;11;7
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;215;1303;1652;1462;1205;1192;1455;958
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;10;;406;361;392;359;248
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;6145;908;;;;;;
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;4;;47;41;37;43;48
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;1;12;537;805;542;522;503;420
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;482;1748;310;;;;;
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;1103;;;;;
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;206;;;;;
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;69;;;;;
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1547;1348;252;390;500;455;374
CUSCO;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;7;9;;;;;;
CUSCO;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);514;;;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;329;401;;;;;;
DEPARTAMENTO DE LIMA 2/;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;743;144;;;;;;
